store_id,store_name,location,manager_name,sales,region
34,Benson-Allen Store,"265 Shaw Ramp Suite 682, Drewborough, MN 26160",Tracy Jones,8890.00,West
35,"Mendoza, Bell and Meyer Store","51317 Bryant Park, Scottmouth, PR 94389",Brian Evans,81850.00,East
36,"Snyder, Rubio and Larson Store","39497 Miller Rapid Suite 369, South Austinport, NH 61431",Eric Mann,79732.00,Central
37,House-Holland Store,"5169 Dunn Ville, Thomasview, IA 56727",Corey Clark,35744.00,West
38,Allen Ltd Store,"Unit 8923 Box 0687, DPO AE 15250",Gina Willis,70901.00,Central
39,Henderson Group Store,"306 Gary Way, North Chadmouth, SD 20061",Frances Novak,48617.00,South
40,"Smith, Villanueva and Mcintosh Store","6461 Freeman Fork, Hansenside, MD 39344",Brittney Williams,12052.00,East
41,Pena LLC Store,"11415 Buck Viaduct, Sarahview, MS 21146",Jacob Stevens,70261.00,Central
42,Moore Ltd Store,"0596 Brandi Trafficway Suite 448, Rasmussenberg, AL 23418",Patricia Campbell,9346.00,Central
43,Williams-Calhoun Store,"63981 Lee Estate Apt. 803, Brownhaven, AZ 49450",Adam Barry,21496.00,East
44,Parker-Moore Store,"70929 Richardson Point, Port Davidberg, VA 83033",Pamela Carter,51183.00,South
45,Sims-Fisher Store,"2661 Robin Court, Port Timothy, NJ 05225",Susan Thompson,17893.00,Central
46,"Mullins, Cross and Hess Store","34312 Harris Shoals, Robertborough, IL 38258",Thomas Garcia,15597.00,South
47,"Baker, Young and White Store","6438 Nunez Oval Apt. 222, Cynthiaview, OH 13445",Alexander Newman,50829.00,South
48,Hall PLC Store,"6443 Lee Mountain Suite 001, Robertfort, AR 36815",Monica Wilson,4278.00,South
49,Hogan-Bean Store,"798 Kyle Drive Apt. 510, East Meredithton, VT 69171",Mary Arroyo,4044.00,Central
50,"Stuart, Callahan and Michael Store","934 Hampton Shores Suite 475, East Michellechester, DC 35305",Nicholas Contreras,747.00,East
51,Mcdonald-Smith Store,"5386 Andersen Loaf, North Toddstad, NY 53594",Charles Kirby,88152.00,South
52,Pollard-Baker Store,"32713 Jasmin Street Suite 276, Nortonport, MN 67007",Ronald Watson,53874.00,South
53,Montgomery-Cross Store,"27959 Jimenez Burg, Lake Christinafort, LA 52301",Mr. John Quinn,22507.00,South
54,Smith-Jackson Store,"229 Sarah Plains Apt. 963, Andrewbury, MO 03685",Barbara Owens,65223.00,Central
55,Hernandez Ltd Store,"293 Madeline Pines Suite 619, Luceroburgh, GU 12145",Kelly Owens,10075.00,North
56,Adams-Sanchez Store,"0974 Karen Keys Suite 897, Williamsside, AK 34876",Patricia Phillips,87238.00,South
57,Arias PLC Store,"38166 Carter Ranch, South Tyler, WY 89289",Greg Giles,80748.00,Central
58,"Butler, Pitts and Clark Store","59349 Eric Plaza, Wellsmouth, ND 76589",John Jones,87215.00,South
59,Mcdonald LLC Store,"0719 Richard Circles Suite 700, Williamshaven, IL 91747",Keith Gordon,95841.00,South
60,Rodriguez PLC Store,"74581 Webster Green, West Jenniferfurt, AK 59553",Michael Haynes,79791.00,Central
61,Robinson-Ellis Store,"75823 Stephanie Row Suite 873, New Tonychester, MT 30036",Robert Reed,45699.00,East
62,Hernandez Inc Store,"67497 French Mount Apt. 180, Robertsborough, WA 88091",Amanda Cervantes,56425.00,South
63,Kelly PLC Store,"26875 Cross Loop Suite 788, Mcguirechester, MA 05828",Danielle Webster,21184.00,North
64,Lawrence Group Store,"92080 Lopez Junctions, North Christineborough, MS 11624",Seth Scott,12751.00,West
65,Perry and Sons Store,"6155 Stone Manor, Herrerabury, WV 14251",Christina Gray,72327.00,West
66,Hines-Anderson Store,"30906 Gonzalez Dale Suite 074, Jamesmouth, RI 62944",Brian Herrera,98564.00,South
67,Clark-Guzman Store,"412 Huff Stream, Andreamouth, IA 49390",Levi Edwards,18835.00,West
68,Taylor LLC Store,"852 Erica Course Apt. 822, Josephbury, IA 14744",Paul Nguyen,13441.00,East
69,Hayes-Jones Store,"77039 Felicia Islands, Lake Ericfurt, ME 08423",James Cook,80189.00,South
70,Long-Crawford Store,"0434 Holly Drive Apt. 243, Robertchester, DC 58335",Jennifer Townsend,81271.00,East
71,Harris-Gonzalez Store,"1891 Timothy Vista Suite 221, Port Masonhaven, PA 82975",Anna Medina,20496.00,West
72,Brown Ltd Store,"8369 Webb Divide, Shannonmouth, NJ 18842",Brianna Wright,85757.00,Central
73,"King, Davenport and Gallegos Store","5012 Jackson Canyon, Walshstad, MN 05487",Samantha Chavez,2358.00,West
74,"Moore, Benson and Graham Store","04572 Navarro Grove Apt. 115, Campbellburgh, ID 98286",Dr. Kathryn Maxwell,17974.00,West
75,Jones Inc Store,"6017 Cruz Keys Suite 098, New Kimberly, AK 86535",Sarah Hopkins,81188.00,Central
76,Frazier-Townsend Store,"749 Martin Alley, Colemanborough, CA 34124",Teresa Johnson,7623.00,North
77,Doyle-Nelson Store,"40938 Crystal View, Port Erik, IL 11100",Danielle Myers,65443.00,Central
78,Scott and Sons Store,"2902 Morgan Crest, Jenniferville, CA 85521",Edward Anderson,73900.00,Central
79,"Mason, Martinez and Jones Store","27621 Green Mountains, Gregoryview, MP 78601",Brandon Evans,68094.00,West
80,Villa-Ashley Store,"81313 Aaron Hill Apt. 726, New Matthew, TX 25287",Phillip Schmidt,4799.00,West
81,Mcconnell LLC Store,"0750 Samuel Course, Susanchester, MI 01899",Walter Martin,87971.00,East
82,Young Group Store,"08925 Nguyen Island, Blackchester, SC 27983",Eric Horton,64190.00,West
83,Jones-Bowen Store,"979 Gamble Land Suite 247, Brownchester, MS 97591",Danielle Phillips,28230.00,East
84,Berry and Sons Store,"128 Richmond Branch, Lake Michelle, MP 11074",Angela Lewis,93758.00,Central
85,"Hood, Green and Brown Store","228 April Meadows Apt. 438, North Edward, IL 59730",Jacob Ortega,56956.00,South
86,"Pearson, Williams and Smith Store","PSC 3645, Box 7946, APO AA 91625",Sarah Johnson,10298.00,North
87,"Moreno, Martin and Martinez Store","PSC 8473, Box 5516, APO AA 61627",Mark Hughes,35882.00,Central
88,Drake-Phillips Store,"9779 Gregory Estate Suite 215, Port Carla, NJ 39663",Molly Griffith,61057.00,West
89,Woods-Roman Store,"0243 Jody Squares, Fieldsstad, PW 47928",Tiffany Neal,98645.00,Central
90,Little Group Store,"35544 Brandon Freeway, South Robert, NM 16608",Adam Wagner,35917.00,Central
91,"George, Castillo and Thomas Store","221 Ashley Land, West Nicholasland, AZ 54694",Heather Meyer,14250.00,South
92,Horne Inc Store,"29672 Malik Cove Suite 370, Keithton, OK 91600",Kimberly Phillips,14562.00,West
93,Barnett-Zavala Store,"91739 Catherine Hill, West John, ND 45992",Tyler Jones,14915.00,North
94,"Mercer, Cochran and Schneider Store","47695 Taylor Squares Suite 750, West Eriktown, NM 16332",Ann Aguirre,86939.00,Central
95,"Flores, Graham and Johnson Store","8242 Jonathan Plain, Kristenchester, MN 32942",Robert Martinez,18861.00,West
96,"Hess, Wilkerson and Vang Store","3319 Kathleen Ridges, Edwardstown, NE 56603",Diana Woods,77087.00,West
97,Hess-Smith Store,"950 Harris Motorway Apt. 935, South Christineside, NV 65420",Brian Carter,50666.00,North
98,"Rose, Roberts and Santana Store","608 Jerry Tunnel Suite 519, Albertbury, NM 01765",Corey Wilkinson,11862.00,West
99,"Carter, White and Young Store","92942 Bishop Alley Suite 854, Joshuafurt, NJ 94556",Steven Arellano,43275.00,North
100,"Rogers, Gardner and Sparks Store","83898 Anthony Plains, Meyershaven, VT 12299",Jim Rodriguez,53013.00,West
101,Scott Ltd Store,"390 Rachael Shore Suite 602, Hooverport, ND 86879",Tracy Watkins,83258.00,North
102,"Adams, Morgan and Smith Store","70461 Andrea Shore Suite 345, Christineside, AK 60008",Peter Blake,72551.00,South
103,Ferguson Ltd Store,"17625 Kurt Bypass, Gonzalezport, SC 68880",Lindsey Bowman,26919.00,North
104,Thomas-Jones Store,"23470 Duncan Drive, South Norma, NJ 93389",Kathryn Hoover,12501.00,North
105,"Deleon, Rose and Brown Store","6867 Rick Ways, South Donnamouth, SD 12597",Michelle Lawson,51223.00,South
106,"Young, Russell and Cooley Store","5196 Jacob Gardens Suite 116, West Cheyenne, KS 78400",Katherine Vargas,19289.00,Central
107,Keller LLC Store,"9711 Kathy Divide, New Stephanie, FL 70346",Michael Anderson,86619.00,South
108,"Miller, Brooks and Harris Store","7426 Myers Rue, Teresabury, MI 32898",Paula Ramirez,54715.00,West
109,Young-Mccoy Store,"2086 Nguyen Estate, West Meghanmouth, OR 97983",Anthony Murphy,88631.00,West
110,Williamson PLC Store,"6302 Parker Harbors, Lake John, PW 73955",Danny Reid,65359.00,North
111,Garcia-Moore Store,"753 Ramirez Parks Apt. 192, Barnesland, VI 95208",Andrew Leonard,80198.00,Central
112,"Williams, Fuller and Montgomery Store","475 Allison Shoals, North Gregory, NM 33396",Danielle Pennington,85855.00,North
113,Gonzalez-Dorsey Store,"5138 Manning Manors Apt. 013, Curryfort, LA 32218",Dana Dawson,66097.00,South
114,Smith-White Store,"PSC 3394, Box 2394, APO AP 47930",Miss Jennifer Parker MD,97461.00,West
115,Nguyen LLC Store,"61172 Raymond Lane Suite 520, East Henry, MA 41212",Austin Webster,17088.00,North
116,"Reyes, Ferguson and Singh Store","33535 Mcmillan Circle Suite 442, Jenkinsport, PR 38846",John Hall,84618.00,North
117,"Greer, Doyle and Brewer Store","855 Shaw Spring Apt. 852, North Cathybury, CO 45772",Todd Miller,96837.00,West
118,Carroll and Sons Store,"84014 Sullivan Views, Elizabethton, ID 45878",Jennifer Gilbert,1067.00,Central
119,Hoffman Inc Store,"20577 Wright Causeway Apt. 821, East Jamietown, MA 92072",Thomas Fox,8118.00,East
120,Smith-White Store,"48331 Ortiz Green Apt. 106, West Robertberg, WV 66134",Amy Young,67109.00,South
121,Foster Inc Store,"573 Fernando Fords Suite 409, New Anthony, GA 91700",Christine Ali,96346.00,South
122,"Frey, Young and Mitchell Store","57007 Gomez Cliffs, Mooretown, WV 65042",Michael Maxwell,34464.00,North
123,Espinoza Inc Store,"35421 Joseph Station Suite 530, Rodneymouth, RI 90383",Anthony Gonzalez,71197.00,South
124,Allen-Garza Store,"234 Shawn Walk Suite 780, Chaseside, SC 46749",Mark Armstrong,51029.00,West
125,Smith-Woodard Store,"37326 Burnett Row Apt. 736, Thomasstad, NM 87187",Sarah Anderson,30161.00,South
126,Jones-Harris Store,"686 Lawson Row Apt. 861, West Justin, IA 12021",Cole Stokes,14983.00,Central
127,Meyer Group Store,"834 Angela Springs, New Brandon, LA 36237",Gerald Snyder,50116.00,North
128,Hunter-Williams Store,"Unit 3149 Box 7434, DPO AP 20946",Miguel Garcia,82734.00,Central
129,Hogan Inc Store,"837 Parker Gateway, West Wayne, SC 74415",Theresa Ramos,32767.00,West
130,"Vazquez, Nelson and Hughes Store","47694 George Inlet, Lake Kyleside, NH 28837",Jose Weaver,75648.00,West
131,"Sanchez, Foster and Clark Store","59958 Estrada Drives Apt. 889, North Steven, MP 17892",Jimmy Houston,90763.00,East
132,Bullock-Reyes Store,"338 Wood Mountains Suite 686, Andersonport, TN 70124",Jessica Moore,64479.00,East
133,Mckee Ltd Store,"329 William Lakes, Lake Ericbury, GU 44784",Troy Mays,37471.00,North
134,Miller Group Store,"75637 Castro Freeway, Jennaview, OH 10778",William Osborne,88541.00,West
135,Mccoy and Sons Store,"Unit 3476 Box 6190, DPO AP 24751",Justin Turner,11190.00,South
136,"Ward, Richards and Simmons Store","Unit 9060 Box 3934, DPO AA 83576",Nicole Moore,88401.00,West
137,"Cole, Stevens and Patterson Store","3319 Webster Ports, Calebview, MT 12833",Jennifer Cummings,91377.00,South
138,"Moore, Webb and James Store","099 Pruitt Unions, Jamesville, NV 90775",Kim Cabrera,81768.00,Central
139,Williams-Conner Store,"37046 Abigail Road Apt. 877, Murphyhaven, NH 55366",Abigail Jones,83858.00,North
140,"Greene, Hernandez and Garcia Store","4618 Payne Key, Lake Angelafort, WY 38710",Jason Roberts,50762.00,South
141,White LLC Store,"613 Donna Locks, Campbellview, MA 81952",Jeffrey Jones DDS,70049.00,West
142,Mitchell Inc Store,"Unit 8030 Box 7549, DPO AE 67167",Mikayla Clark,8257.00,Central
143,Fisher and Sons Store,"3632 Wendy Expressway, Anthonyport, MI 69403",Renee Thompson,92478.00,South
144,"Carson, Knight and Lane Store","96965 Patrick Light, Lake Marissabury, MP 65053",Kayla Cochran,82850.00,West
145,"Jordan, Collins and Torres Store","319 Wood Brook Suite 652, West Angelaport, WY 04982",Shannon Marks,24376.00,West
146,Sloan Ltd Store,"373 Wendy Overpass, Jamesview, KY 40814",Victoria Garner,60704.00,East
147,West Group Store,"USCGC Cunningham, FPO AA 50297",Jose Willis,93452.00,South
148,"Huerta, Nguyen and Harrison Store","251 Fuentes Cliffs Apt. 339, South Craig, NY 88109",Dominique Calderon,47639.00,South
149,"Rowe, Hernandez and Wheeler Store","386 Hernandez Park, Hughesfort, IA 68793",Christopher Frye,44219.00,West
150,Robinson-Green Store,"644 Melton Flats, South Ethan, RI 64041",Natasha Frost,30737.00,East
151,"Jones, Reyes and Rasmussen Store","337 John Mount, North Brandon, VI 65751",Christina Mejia,40892.00,West
152,"Ramirez, Carter and Morris Store","423 Kelly Ramp, East Angela, TN 55394",Darius Hernandez,6978.00,East
153,Turner-Gomez Store,"317 Hall Orchard Apt. 869, Normanchester, ME 06828",Benjamin Kim,24516.00,West
154,"Garcia, Bishop and Berger Store","Unit 9659 Box 6332, DPO AP 29912",Kyle Owens,16772.00,East
155,"Warner, Bennett and Owens Store","510 Maria Trail, West Austintown, ME 09401",Amy Mcknight,12472.00,East
156,"Turner, Hamilton and Dalton Store","336 Hernandez Ville Apt. 537, Lake Bradleymouth, MI 36212",Andrew Anderson,17984.00,Central
157,Davis Group Store,"51192 Amanda Fork, Matthewbury, CA 50542",Madison Hudson MD,81292.00,East
158,"Garcia, Charles and Murphy Store","93797 Rhodes Knolls Suite 890, Hardintown, WV 47094",Lori Anderson,75900.00,West
159,Moore-Gonzales Store,"39337 Jocelyn Rue Apt. 576, Melendezshire, IA 52868",Kyle Perez,53653.00,East
160,Irwin PLC Store,"1668 Adam Parkways Apt. 844, Dylanland, CO 38907",Denise Ramirez,1123.00,Central
161,Thompson-Alvarez Store,"10296 Leslie Mountains Apt. 721, Johnsonfurt, PA 13692",Tyler Wilkinson,89672.00,South
162,"Wells, Nichols and Coleman Store","728 Jerry Cape Apt. 863, South Toddmouth, RI 36337",Rebecca Rollins,42780.00,East
163,Cordova-Lara Store,"52056 Clark Estate Apt. 058, Mariabury, FL 98791",Amy King,69638.00,South
164,Perry-Stevens Store,"188 Adams Island Apt. 854, Patrickfurt, MN 12968",Jennifer Hurley,65266.00,East
165,Rogers-Dunn Store,"17949 Williams Avenue Apt. 997, Phillipschester, ND 62934",Julie Ellison,8496.00,West
166,"Williams, Aguilar and Case Store","USCGC Hoffman, FPO AA 34004",Karen Farrell,82548.00,West
167,Gonzalez-Montgomery Store,"2984 Gray Trafficway Apt. 796, Lake Chelsea, MS 70169",Sarah Valdez,70230.00,West
168,Coleman-Johnston Store,"3228 Scott Neck, New Carolyn, VT 01198",Madison Phillips,22174.00,Central
169,Craig-Carroll Store,"2772 Christopher Knoll Apt. 675, West Mikeberg, IL 05766",David Wolfe,31605.00,West
170,"Hayes, Carpenter and Rich Store","121 Kathleen Crossroad Suite 486, Port Tylerhaven, AL 35724",Eric Maxwell,33744.00,West
171,Thomas PLC Store,"49146 Stephanie Dam, Perezview, OK 16485",Stefanie Miller,21776.00,East
172,Welch Ltd Store,"6364 Kimberly River Apt. 325, Lake Keith, GA 65247",Dakota Floyd,48913.00,West
173,Hodges Ltd Store,"302 Ashley Club Apt. 589, Richardsonhaven, AZ 67681",Angela Joseph,96218.00,South
174,"Avila, Johnson and Allen Store","06575 Trujillo Via Suite 076, Jamesside, OK 43927",Matthew Marsh,72280.00,North
175,Lawrence and Sons Store,"943 Darrell Run Apt. 730, North Jimmyhaven, ID 63618",Ronald Freeman,64288.00,West
176,Hooper-Murphy Store,"331 Joseph Lake Apt. 459, North Derek, NJ 43660",Douglas Graves,37872.00,East
177,Mays Group Store,"94118 Jay Gardens, Myersbury, WY 32246",Christopher White,41149.00,Central
178,"Coleman, Glass and Chavez Store","USS Davis, FPO AE 69509",Adam Ruiz,82461.00,North
179,Russell-Carter Store,"23320 Raymond Villages, South Gary, MA 04606",Richard Parker,43184.00,South
180,Christian Group Store,"0146 Gomez Pine, Staceyport, VT 36433",George Crawford,82027.00,South
181,Wallace-Taylor Store,"200 Smith Mission, South Cherylchester, FM 37626",Lisa Mathews,84833.00,East
182,"Gonzalez, Owens and Clayton Store","32120 Ann Plains, Hallton, ID 97678",Christine Reynolds,90280.00,South
183,"Acosta, Estes and Myers Store","87661 Huerta Mill, West Roychester, DC 41501",Ashley Santos,57697.00,Central
184,Moreno PLC Store,"68893 Diana Cliff, East Sabrina, AR 74094",Stacy Anderson,89492.00,North
185,"Summers, Jackson and Mayo Store","65516 Kelly Rapids Suite 317, Jamesville, MA 53684",Michaela Spears,17017.00,South
186,"Williams, Thomas and Pruitt Store","6079 Sara Ports Suite 024, Harmonside, TN 69774",Jamie Armstrong,57115.00,North
187,Taylor Ltd Store,"7899 Woodard Square Suite 695, North Todd, VI 68464",David Jones,3009.00,North
188,"Smith, Castillo and Buckley Store","966 Julie Fords, Lewischester, ND 21127",Benjamin Scott,40169.00,East
189,"Chambers, Stafford and Johnston Store","612 Nunez Center, New Markbury, WA 96794",Amber Hughes,76441.00,South
190,"Evans, Phelps and Buck Store","514 Hernandez Rest, Port Chelseyburgh, GU 49319",Stephanie Moore,32939.00,Central
191,Harris Inc Store,"641 Travis Cliffs Apt. 103, Kelliburgh, WI 35437",Anna Christian,17116.00,North
192,Jones and Sons Store,"Unit 6294 Box 9648, DPO AE 21224",Jeremy Hernandez,73784.00,East
193,"Sawyer, Scott and Walker Store","4301 Christian Mission Suite 518, Johnfort, FM 01736",Stephanie Rosales,12709.00,South
194,Molina-Gonzalez Store,"6653 Stewart Springs Suite 511, West Theresabury, ID 66320",Keith Guzman,86090.00,West
195,"Walters, Powell and Morrison Store","97077 Rachel Parks, Jamesmouth, IA 38642",Mary Gutierrez,94298.00,Central
196,Reilly-Richard Store,"86496 Jennifer Parks, Sharonfurt, GA 58209",Kyle Scott,76092.00,West
197,"Duncan, Nichols and Smith Store","48882 Medina Greens, Elizabethville, GU 73834",Ryan Faulkner,85055.00,South
198,"Jordan, Hansen and Wilson Store","30498 Davidson Shoal Apt. 751, Stevenmouth, WI 39349",Robin Mora,6846.00,South
199,Petersen LLC Store,"USNS Powell, FPO AP 05556",Jeffrey Spencer,22472.00,South
200,"Sloan, Jones and Crawford Store","02408 Nelson Mount, South Anna, MI 98285",April Parker,79946.00,West
201,Campbell-Taylor Store,"965 Clark Crossroad Suite 682, South Erica, MP 75776",Kelsey Holmes,38757.00,South
202,"Johnson, Baldwin and Duncan Store","350 Mitchell Glen, Calebmouth, MO 84025",Daniel Clark,86765.00,East
203,"Townsend, Kennedy and Gutierrez Store","8827 Vanessa Brooks Suite 475, North Amber, WI 14417",Kristen Taylor,98667.00,North
204,Ward and Sons Store,"181 Wilson Mountain, South Craigtown, VI 87073",Johnny West,87982.00,North
205,Gonzalez-Price Store,"1690 Jennifer Stravenue, Perezville, HI 84807",Eduardo Mckenzie,75424.00,East
206,Prince Group Store,"1463 Horton Valleys Apt. 258, East Rhonda, CA 13256",Jennifer Thomas,28745.00,East
207,Conway-Velazquez Store,"8677 Sullivan Street Suite 847, Carlaview, WA 59384",Zachary Alexander,62323.00,North
208,"Brown, Garcia and Bernard Store","0275 Janet Ford, North Nicole, WA 40277",John Boyd,81019.00,East
209,Jones-Tate Store,"2821 David Tunnel, Brentmouth, LA 28436",Edward Boyd,56198.00,Central
210,Burton-Phillips Store,"6726 Massey Ports, Dunnbury, AZ 94385",Nicholas Olson,32323.00,East
211,Parker-Kelley Store,"612 Russell Locks Apt. 425, Deanburgh, GA 68211",Cynthia Garner,28011.00,South
212,Stevens-Briggs Store,"7364 Thomas Tunnel Suite 524, East Renee, DC 72021",Vanessa Higgins,55389.00,North
213,Lee-Dixon Store,"34549 Sullivan Mountains, Valdezbury, NM 64153",Pamela Garner,18904.00,Central
214,"Garcia, West and Gilbert Store","6813 Herman Cove Apt. 403, Mccormickhaven, PR 95584",Jessica Reynolds,5396.00,North
215,"Jones, Gregory and Arias Store","1004 Bailey Stream Apt. 841, East Zachary, RI 24045",Teresa Davis,12190.00,Central
216,Morales Inc Store,"01737 Cristian Parkway Suite 803, Robertstown, OR 28364",Kathryn Compton,74747.00,East
217,English Ltd Store,"396 Branch Lakes Apt. 959, Bryanborough, CT 39408",James Lara,45661.00,East
218,Rios-Sutton Store,"643 Lopez Circle, Port Danielle, MP 11658",Rodney Mcpherson,44362.00,East
219,Barry LLC Store,"1090 Micheal Brooks Apt. 596, Smithchester, TX 82115",Stacy Black,3939.00,North
220,"Moore, Young and Holmes Store","9414 Mitchell Cape Apt. 513, Lake Brian, MD 81957",Charles Brooks,14778.00,West
221,Arnold Ltd Store,"17676 Peck Coves Suite 196, South Melissa, IN 22738",Craig Anderson,13531.00,Central
222,Bryant-Osborn Store,"118 Smith Spring Suite 110, New Sharonfort, LA 22375",Debra Gibbs,70951.00,South
223,"Benjamin, Harrell and Miller Store","22840 Jeffrey Fords, Anthonytown, TX 85887",James Walker,28387.00,South
224,Johnson-Parker Store,"210 Amanda Corner, Danatown, NC 73616",David Martinez,3373.00,West
225,Carter-Moore Store,"PSC 6337, Box 4077, APO AE 80510",Brittney Lane,45663.00,South
226,Webb-Huber Store,"Unit 3019 Box 6019, DPO AP 36263",Elizabeth Peck,55382.00,Central
227,"Baxter, Wagner and Jackson Store","497 Wood Skyway Suite 981, Lewismouth, TN 08263",Angela Lee,63244.00,North
228,"Thompson, Chung and Patterson Store","515 Anderson Hollow Suite 556, Port Angela, GA 85559",Joseph Lee,67179.00,East
229,Ford LLC Store,"907 Young Grove, Fischerfurt, PA 23617",Gabrielle Mcguire,63155.00,North
230,"Savage, Boyd and Davis Store","3427 William River Suite 649, South Laurenland, MD 66695",Kimberly Vasquez,81526.00,Central
231,Chapman-Wilkins Store,"55156 Gill Highway Suite 675, Timothyfort, LA 37410",Brittany Valenzuela,6514.00,South
232,Schultz-Parsons Store,"3976 Todd Villages Suite 337, Sharonchester, GA 23522",Darrell Brown,40971.00,West
233,Martin-Smith Store,"7757 Stuart Station Suite 220, Rebeccaborough, PR 98968",Michelle Martinez,43835.00,Central
234,Martin PLC Store,"8260 Thomas Rapid Suite 875, Kellyfurt, PW 90493",Joseph Martin MD,12367.00,South
235,Scott Inc Store,"903 Dylan Springs, South Randy, IA 06130",Jeremy Day,51600.00,North
236,Howard LLC Store,"79886 Murphy Alley Suite 057, South Chadbury, OK 96254",Miss Zoe Ortiz,386.00,South
237,Harris-Cain Store,"8817 James Bypass, Franklinborough, HI 57822",Keith Cooper,8061.00,East
238,Green Group Store,"92482 Randolph Mall, Bethanyfort, CA 64557",Sarah Woods,46651.00,East
239,Kline Group Store,"PSC 3917, Box 0302, APO AA 08411",Brian Mcgee,4630.00,West
240,"Meza, Harrison and Byrd Store","34667 Petersen Burg, Port Katie, VT 09833",Stephen Parker,35595.00,South
241,Adams and Sons Store,"07656 Wilson Wells Suite 676, Lake Stephanieside, ID 99040",Michael Mullen,23558.00,North
242,"Adams, Watkins and Shannon Store","4664 Jason Keys, East Joshua, TN 25451",Allison Price,74481.00,South
243,Davis Inc Store,"25155 Scott Alley Suite 313, New Sethberg, MH 20676",Caitlyn Aguilar,74928.00,East
244,Cummings PLC Store,"511 Kelly Pass Suite 370, East Kimberly, VA 47681",Dominique Martinez,59661.00,East
245,"Taylor, Hernandez and Guerrero Store","731 Miller Greens, South Bryanmouth, KY 32039",Donald Brown,63605.00,East
